,EuA_freq,EA_freq,EA_minus_EuA
TPJ,0.20930232558139536,0.10526315789473684,-0.10403916768665852
affective,0.3953488372093023,0.18421052631578946,-0.21113831089351284
amygdala,0.13953488372093023,0.07894736842105263,-0.0605875152998776
belief_updating,0.06976744186046512,0.0,-0.06976744186046512
caudate,0.20930232558139536,0.0,-0.20930232558139536
close_other,0.0,0.07894736842105263,0.07894736842105263
collective,0.0,0.07894736842105263,0.07894736842105263
cooperation,0.11627906976744186,0.10526315789473684,-0.011015911872705023
coupling,0.0,0.07894736842105263,0.07894736842105263
cultural,0.0,0.21052631578947367,0.21052631578947367
dmPFC,0.0,0.42105263157894735,0.42105263157894735
emotion,0.06976744186046512,0.0,-0.06976744186046512
ingroup,0.0,0.07894736842105263,0.07894736842105263
insula,0.13953488372093023,0.10526315789473684,-0.034271725826193394
mentalising,0.20930232558139536,0.2631578947368421,0.05385556915544673
moral,0.046511627906976744,0.0,-0.046511627906976744
norm_violation,0.13953488372093023,0.10526315789473684,-0.034271725826193394
oxytocin,0.18604651162790697,0.0,-0.18604651162790697
reciprocity,0.37209302325581395,0.0,-0.37209302325581395
rejection,0.046511627906976744,0.0,-0.046511627906976744
reputation,0.16279069767441862,0.0,-0.16279069767441862
reward,0.4418604651162791,0.07894736842105263,-0.3629130966952264
self_referential,0.06976744186046512,0.21052631578947367,0.14075887392900854
social,0.32558139534883723,0.21052631578947367,-0.11505507955936356
social_identity,0.0,0.07894736842105263,0.07894736842105263
striatum,0.11627906976744186,0.0,-0.11627906976744186
threat,0.13953488372093023,0.07894736842105263,-0.0605875152998776
unfairness,0.0,0.10526315789473684,0.10526315789473684
vmPFC,0.11627906976744186,0.07894736842105263,-0.03733170134638923
